timestamps,departure_terminal,arrival_terminal,scheduled_departure,actual_departure,Actual_Arrival,TransitTime,seconds_late
2013-11-08 20:10:00,Bainbridge,Colman,10:00.0,10:10.0,40:09.0,30.0,10.0
2013-11-08 20:55:00,Bainbridge,Colman,55:00.0,55:34.0,26:42.0,31.0,34.0
2013-11-08 21:45:00,Bainbridge,Colman,45:00.0,45:47.0,18:28.0,33.0,47.0
2013-11-08 22:35:00,Bainbridge,Colman,35:00.0,36:44.0,07:39.0,31.0,104.0
2013-11-09 00:55:00,Bainbridge,Colman,55:00.0,59:56.0,31:14.0,32.0,296.0
2013-11-09 05:20:00,Bainbridge,Colman,20:00.0,21:48.0,52:00.0,31.0,108.0
2013-11-09 07:05:00,Bainbridge,Colman,05:00.0,05:00.0,36:03.0,31.0,0.0
2013-11-09 07:55:00,Bainbridge,Colman,55:00.0,55:00.0,26:06.0,31.0,0.0
2013-11-09 08:45:00,Bainbridge,Colman,45:00.0,45:00.0,15:19.0,30.0,0.0
2013-11-09 09:35:00,Bainbridge,Colman,35:00.0,35:00.0,06:14.0,31.0,0.0
2013-11-09 10:25:00,Bainbridge,Colman,25:00.0,27:11.0,59:42.0,32.0,131.0
2013-11-09 11:30:00,Bainbridge,Colman,30:00.0,30:11.0,00:16.0,30.0,11.0
2013-11-09 12:20:00,Bainbridge,Colman,20:00.0,20:36.0,52:05.0,32.0,36.0
2013-11-09 13:10:00,Bainbridge,Colman,10:00.0,11:05.0,42:43.0,31.0,65.0
2013-11-09 14:05:00,Bainbridge,Colman,05:00.0,05:27.0,36:42.0,31.0,27.0
2013-11-09 14:55:00,Bainbridge,Colman,55:00.0,59:06.0,29:20.0,30.0,246.0
2013-11-09 15:50:00,Bainbridge,Colman,50:00.0,50:28.0,21:37.0,31.0,28.0
2013-11-09 16:35:00,Bainbridge,Colman,35:00.0,39:03.0,09:13.0,30.0,243.0
2013-11-09 17:30:00,Bainbridge,Colman,30:00.0,36:12.0,08:49.0,32.0,372.0
2013-11-09 18:30:00,Bainbridge,Colman,30:00.0,30:49.0,00:48.0,30.0,49.0
2013-11-09 19:10:00,Bainbridge,Colman,10:00.0,15:34.0,46:57.0,31.0,334.0
2013-11-09 20:10:00,Bainbridge,Colman,10:00.0,09:28.0,38:45.0,29.0,-32.0
2013-11-09 20:55:00,Bainbridge,Colman,55:00.0,03:38.0,32:43.0,29.0,518.0
2013-11-09 21:45:00,Bainbridge,Colman,45:00.0,46:59.0,16:22.0,30.0,119.0
2013-11-09 22:30:00,Bainbridge,Colman,30:00.0,30:03.0,01:25.0,31.0,3.0
2013-11-10 00:00:00,Bainbridge,Colman,00:00.0,00:23.0,32:25.0,32.0,23.0
2013-11-10 01:25:00,Bainbridge,Colman,25:00.0,28:53.0,00:04.0,32.0,233.0
2013-11-10 05:20:00,Bainbridge,Colman,20:00.0,28:34.0,57:42.0,29.0,514.0
2013-11-10 07:05:00,Bainbridge,Colman,05:00.0,05:06.0,37:15.0,32.0,6.0
2013-11-10 08:45:00,Bainbridge,Colman,45:00.0,45:00.0,16:53.0,31.0,0.0
2013-11-10 09:35:00,Bainbridge,Colman,35:00.0,36:07.0,06:51.0,30.0,67.0
2013-11-10 10:25:00,Bainbridge,Colman,25:00.0,25:00.0,55:59.0,30.0,0.0
2013-11-10 11:30:00,Bainbridge,Colman,30:00.0,30:09.0,00:04.0,30.0,9.0
2013-11-10 12:20:00,Bainbridge,Colman,20:00.0,21:15.0,52:53.0,31.0,75.0
2013-11-10 13:10:00,Bainbridge,Colman,10:00.0,10:30.0,42:17.0,32.0,30.0
2013-11-10 14:05:00,Bainbridge,Colman,05:00.0,05:59.0,37:30.0,32.0,59.0
2013-11-10 14:55:00,Bainbridge,Colman,55:00.0,55:43.0,26:17.0,31.0,43.0
2013-11-10 15:50:00,Bainbridge,Colman,50:00.0,50:55.0,22:03.0,32.0,55.0
2013-11-10 16:35:00,Bainbridge,Colman,35:00.0,35:00.0,05:17.0,30.0,0.0
2013-11-10 17:30:00,Bainbridge,Colman,30:00.0,31:28.0,03:52.0,32.0,88.0
2013-11-10 18:30:00,Bainbridge,Colman,30:00.0,30:42.0,59:48.0,29.0,42.0
2013-11-10 19:10:00,Bainbridge,Colman,10:00.0,11:06.0,41:31.0,30.0,66.0
2013-11-10 20:10:00,Bainbridge,Colman,10:00.0,17:06.0,44:06.0,27.0,426.0
2013-11-10 20:55:00,Bainbridge,Colman,55:00.0,55:19.0,26:33.0,31.0,19.0
2013-11-10 21:45:00,Bainbridge,Colman,45:00.0,45:29.0,16:41.0,31.0,29.0
2013-11-10 22:30:00,Bainbridge,Colman,30:00.0,30:00.0,01:40.0,31.0,0.0
2013-11-11 00:00:00,Bainbridge,Colman,00:00.0,00:00.0,30:36.0,30.0,0.0
2013-11-11 01:25:00,Bainbridge,Colman,25:00.0,25:43.0,56:30.0,31.0,43.0
2013-11-11 04:45:00,Bainbridge,Colman,45:00.0,45:22.0,15:50.0,30.0,22.0
2013-11-11 05:20:00,Bainbridge,Colman,20:00.0,20:07.0,50:53.0,30.0,7.0
2013-11-11 06:20:00,Bainbridge,Colman,20:00.0,20:14.0,51:25.0,31.0,14.0
2013-11-11 07:05:00,Bainbridge,Colman,05:00.0,05:50.0,36:59.0,31.0,50.0
2013-11-11 07:55:00,Bainbridge,Colman,55:00.0,58:39.0,28:36.0,30.0,219.0
2013-11-11 08:45:00,Bainbridge,Colman,45:00.0,45:40.0,15:48.0,30.0,40.0
2013-11-11 09:40:00,Bainbridge,Colman,40:00.0,40:52.0,12:30.0,32.0,52.0
2013-11-11 10:25:00,Bainbridge,Colman,25:00.0,25:00.0,58:04.0,33.0,0.0
2013-11-11 11:30:00,Bainbridge,Colman,30:00.0,35:21.0,05:07.0,30.0,321.0
2013-11-11 12:20:00,Bainbridge,Colman,20:00.0,20:00.0,50:27.0,30.0,0.0
2013-11-11 13:10:00,Bainbridge,Colman,10:00.0,12:53.0,45:28.0,33.0,173.0
2013-11-11 14:05:00,Bainbridge,Colman,05:00.0,05:43.0,36:15.0,31.0,43.0
2013-11-11 14:55:00,Bainbridge,Colman,55:00.0,55:00.0,23:49.0,28.0,0.0
2013-11-11 15:50:00,Bainbridge,Colman,50:00.0,50:41.0,20:15.0,30.0,41.0
2013-11-11 16:35:00,Bainbridge,Colman,35:00.0,35:00.0,04:09.0,29.0,0.0
2013-11-11 17:30:00,Bainbridge,Colman,30:00.0,36:06.0,06:42.0,30.0,366.0
2013-11-11 18:30:00,Bainbridge,Colman,30:00.0,30:08.0,01:33.0,31.0,8.0
2013-11-11 19:10:00,Bainbridge,Colman,10:00.0,10:05.0,43:25.0,33.0,5.0
2013-11-11 20:10:00,Bainbridge,Colman,10:00.0,10:12.0,39:59.0,29.0,12.0
2013-11-11 20:55:00,Bainbridge,Colman,55:00.0,55:36.0,30:28.0,35.0,36.0
2013-11-11 21:45:00,Bainbridge,Colman,45:00.0,46:09.0,19:11.0,33.0,69.0
2013-11-11 22:35:00,Bainbridge,Colman,35:00.0,35:23.0,06:57.0,31.0,23.0
2013-11-12 00:55:00,Bainbridge,Colman,55:00.0,57:40.0,27:59.0,30.0,160.0
2013-11-12 04:45:00,Bainbridge,Colman,45:00.0,45:00.0,18:26.0,33.0,0.0
2013-11-12 05:20:00,Bainbridge,Colman,20:00.0,20:00.0,51:09.0,31.0,0.0
2013-11-12 06:20:00,Bainbridge,Colman,20:00.0,20:00.0,51:22.0,31.0,0.0
2013-11-12 07:05:00,Bainbridge,Colman,05:00.0,05:00.0,37:34.0,32.0,0.0
2013-11-12 07:55:00,Bainbridge,Colman,55:00.0,59:29.0,30:59.0,31.0,269.0
2013-11-12 08:45:00,Bainbridge,Colman,45:00.0,46:16.0,17:19.0,31.0,76.0
2013-11-12 09:40:00,Bainbridge,Colman,40:00.0,42:15.0,13:33.0,31.0,135.0
2013-11-12 10:25:00,Bainbridge,Colman,25:00.0,25:00.0,55:42.0,30.0,0.0
2013-11-12 11:30:00,Bainbridge,Colman,30:00.0,30:33.0,59:50.0,29.0,33.0
2013-11-12 12:20:00,Bainbridge,Colman,20:00.0,20:00.0,51:04.0,31.0,0.0
2013-11-12 13:10:00,Bainbridge,Colman,10:00.0,10:00.0,38:45.0,28.0,0.0
2013-11-12 14:05:00,Bainbridge,Colman,05:00.0,05:00.0,38:21.0,33.0,0.0
2013-11-12 14:55:00,Bainbridge,Colman,55:00.0,54:38.0,23:48.0,29.0,-22.0
2013-11-12 15:50:00,Bainbridge,Colman,50:00.0,50:23.0,21:28.0,31.0,23.0
2013-11-12 16:35:00,Bainbridge,Colman,35:00.0,36:27.0,06:12.0,30.0,87.0
2013-11-12 17:30:00,Bainbridge,Colman,30:00.0,36:48.0,07:23.0,31.0,408.0
2013-11-12 18:30:00,Bainbridge,Colman,30:00.0,30:18.0,01:09.0,31.0,18.0
